frame,speed,date,time,marker
0,205,18/10/2023,16:00:15,020+106
1,205,18/10/2023,16:00:15,020+111
2,205,18/10/2023,16:00:15,020+116
3,205,18/10/2023,16:00:15,020+116
4,205,18/10/2023,16:00:15,020+121
5,205,18/10/2023,16:00:16,020+126
6,205,18/10/2023,16:00:16,020+126
7,205,18/10/2023,16:00:16,020+131
8,206,18/10/2023,16:00:16,020+136
9,206,18/10/2023,16:00:16,020+136
10,206,18/10/2023,16:00:16,020+141
11,206,18/10/2023,16:00:16,020+146
12,206,18/10/2023,16:00:16,020+146
13,206,18/10/2023,16:00:16,020+151
14,206,18/10/2023,16:00:16,020+156
15,206,18/10/2023,16:00:16,020+156
16,206,18/10/2023,16:00:16,020+161
17,206,18/10/2023,16:00:16,020+166
18,206,18/10/2023,16:00:16,020+166
19,206,18/10/2023,16:00:16,020+171
20,206,18/10/2023,16:00:16,020+176
21,206,18/10/2023,16:00:16,020+176
22,206,18/10/2023,16:00:17,020+181
23,206,18/10/2023,16:00:17,020+186
24,206,18/10/2023,16:00:17,020+186
25,206,18/10/2023,16:00:17,020+191
26,206,18/10/2023,16:00:17,020+196
27,206,18/10/2023,16:00:17,020+196
28,207,18/10/2023,16:00:17,020+201
29,207,18/10/2023,16:00:17,020+206
30,207,18/10/2023,16:00:17,020+206
31,207,18/10/2023,16:00:17,020+211
32,207,18/10/2023,16:00:17,020+216
33,207,18/10/2023,16:00:17,020+216
34,207,18/10/2023,16:00:17,020+221
35,207,18/10/2023,16:00:17,020+226
36,207,18/10/2023,16:00:17,020+226
37,207,18/10/2023,16:00:17,020+231
38,207,18/10/2023,16:00:17,020+236
39,207,18/10/2023,16:00:17,020+236
40,207,18/10/2023,16:00:18,020+241
41,207,18/10/2023,16:00:18,020+246
42,207,18/10/2023,16:00:18,020+246
43,207,18/10/2023,16:00:18,020+251
44,207,18/10/2023,16:00:18,020+256
45,207,18/10/2023,16:00:18,020+256
46,207,18/10/2023,16:00:18,020+261
47,208,18/10/2023,16:00:18,020+266
48,208,18/10/2023,16:00:18,020+266
49,208,18/10/2023,16:00:18,020+271
50,208,18/10/2023,16:00:18,020+276
51,208,18/10/2023,16:00:18,020+276
52,208,18/10/2023,16:00:18,020+281
53,208,18/10/2023,16:00:18,020+286
54,208,18/10/2023,16:00:18,020+286
55,208,18/10/2023,16:00:18,020+291
56,208,18/10/2023,16:00:19,020+296
57,208,18/10/2023,16:00:19,020+296
